
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023b (23.2.0.2365128) 64-bit (glnxa64)
                              August 23, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Episode:  42/1000 | Episode reward:   -43.33 | Episode steps: 1001 | Average reward:   -23.45 | Step Count: 42042 | Episode Q0:    -1.41
Episode:  43/1000 | Episode reward:   -62.42 | Episode steps: 1001 | Average reward:   -35.21 | Step Count: 43043 | Episode Q0:    -1.42
Episode:  44/1000 | Episode reward:   -87.56 | Episode steps: 1001 | Average reward:   -51.30 | Step Count: 44044 | Episode Q0:    -1.43
Episode:  45/1000 | Episode reward:  -121.38 | Episode steps: 1001 | Average reward:   -69.99 | Step Count: 45045 | Episode Q0:    -1.45
Episode:  46/1000 | Episode reward:  -113.87 | Episode steps: 1001 | Average reward:   -85.71 | Step Count: 46046 | Episode Q0:    -1.47
Episode:  47/1000 | Episode reward:  -119.88 | Episode steps: 1001 | Average reward:  -101.02 | Step Count: 47047 | Episode Q0:    -1.50
Episode:  48/1000 | Episode reward:  -155.57 | Episode steps: 1001 | Average reward:  -119.65 | Step Count: 48048 | Episode Q0:    -1.54
Episode:  49/1000 | Episode reward:  -173.07 | Episode steps: 1001 | Average reward:  -136.75 | Step Count: 49049 | Episode Q0:    -1.60
Episode:  50/1000 | Episode reward:  -149.74 | Episode steps: 1001 | Average reward:  -142.43 | Step Count: 50050 | Episode Q0:    -1.64
Episode:  51/1000 | Episode reward:   -35.09 | Episode steps: 1001 | Average reward:  -126.67 | Step Count: 51051 | Episode Q0:    -1.67
Episode:  52/1000 | Episode reward:    -3.89 | Episode steps: 1001 | Average reward:  -103.47 | Step Count: 52052 | Episode Q0:    -1.66
Episode:  53/1000 | Episode reward:    -3.57 | Episode steps: 1001 | Average reward:   -73.07 | Step Count: 53053 | Episode Q0:    -1.70
Episode:  54/1000 | Episode reward:    -3.22 | Episode steps: 1001 | Average reward:   -39.10 | Step Count: 54054 | Episode Q0:    -1.72
Episode:  55/1000 | Episode reward:    -3.30 | Episode steps: 1001 | Average reward:    -9.81 | Step Count: 55055 | Episode Q0:    -1.74
Episode:  56/1000 | Episode reward:    -3.17 | Episode steps: 1001 | Average reward:    -3.43 | Step Count: 56056 | Episode Q0:    -1.83
Episode:  57/1000 | Episode reward:    -3.29 | Episode steps: 1001 | Average reward:    -3.31 | Step Count: 57057 | Episode Q0:    -1.84
Episode:  58/1000 | Episode reward:    -3.41 | Episode steps: 1001 | Average reward:    -3.28 | Step Count: 58058 | Episode Q0:    -1.89
Episode:  59/1000 | Episode reward:    -3.31 | Episode steps: 1001 | Average reward:    -3.30 | Step Count: 59059 | Episode Q0:    -1.99
Episode:  60/1000 | Episode reward:    -3.40 | Episode steps: 1001 | Average reward:    -3.31 | Step Count: 60060 | Episode Q0:    -1.94
Episode:  61/1000 | Episode reward:    -3.81 | Episode steps: 1001 | Average reward:    -3.44 | Step Count: 61061 | Episode Q0:    -1.94
Episode:  62/1000 | Episode reward:    -5.71 | Episode steps: 1001 | Average reward:    -3.93 | Step Count: 62062 | Episode Q0:    -1.97
Episode:  63/1000 | Episode reward:   -15.98 | Episode steps: 1001 | Average reward:    -6.44 | Step Count: 63063 | Episode Q0:    -1.94
Episode:  64/1000 | Episode reward:   -23.54 | Episode steps: 1001 | Average reward:   -10.49 | Step Count: 64064 | Episode Q0:    -1.95
Episode:  65/1000 | Episode reward:   -23.35 | Episode steps: 1001 | Average reward:   -14.48 | Step Count: 65065 | Episode Q0:    -1.96
Episode:  66/1000 | Episode reward:   -27.32 | Episode steps: 1001 | Average reward:   -19.18 | Step Count: 66066 | Episode Q0:    -1.96
Episode:  67/1000 | Episode reward:   -35.49 | Episode steps: 1001 | Average reward:   -25.14 | Step Count: 67067 | Episode Q0:    -1.96
Episode:  68/1000 | Episode reward:   -51.54 | Episode steps: 1001 | Average reward:   -32.25 | Step Count: 68068 | Episode Q0:    -1.97
Episode:  69/1000 | Episode reward:   -72.02 | Episode steps: 1001 | Average reward:   -41.94 | Step Count: 69069 | Episode Q0:    -1.97
Episode:  70/1000 | Episode reward:   -57.83 | Episode steps: 1001 | Average reward:   -48.84 | Step Count: 70070 | Episode Q0:    -1.97
Episode:  71/1000 | Episode reward:   -87.64 | Episode steps: 1001 | Average reward:   -60.90 | Step Count: 71071 | Episode Q0:    -1.99
Episode:  72/1000 | Episode reward:  -113.13 | Episode steps: 1001 | Average reward:   -76.43 | Step Count: 72072 | Episode Q0:    -2.01
Episode:  73/1000 | Episode reward:  -103.46 | Episode steps: 1001 | Average reward:   -86.82 | Step Count: 73073 | Episode Q0:    -2.03
Episode:  74/1000 | Episode reward:  -107.96 | Episode steps: 1001 | Average reward:   -94.01 | Step Count: 74074 | Episode Q0:    -2.06
Episode:  75/1000 | Episode reward:  -125.69 | Episode steps: 1001 | Average reward:  -107.58 | Step Count: 75075 | Episode Q0:    -2.10
Episode:  76/1000 | Episode reward:  -147.62 | Episode steps: 1001 | Average reward:  -119.57 | Step Count: 76076 | Episode Q0:    -2.14
Episode:  77/1000 | Episode reward:  -134.84 | Episode steps: 1001 | Average reward:  -123.92 | Step Count: 77077 | Episode Q0:    -2.18
Episode:  78/1000 | Episode reward:  -135.80 | Episode steps: 1001 | Average reward:  -130.38 | Step Count: 78078 | Episode Q0:    -2.24
Episode:  79/1000 | Episode reward:   -40.36 | Episode steps: 1001 | Average reward:  -116.86 | Step Count: 79079 | Episode Q0:    -2.26
Episode:  80/1000 | Episode reward:    -4.22 | Episode steps: 1001 | Average reward:   -92.57 | Step Count: 80080 | Episode Q0:    -2.24
Episode:  81/1000 | Episode reward:    -3.11 | Episode steps: 1001 | Average reward:   -63.67 | Step Count: 81081 | Episode Q0:    -2.27
Episode:  82/1000 | Episode reward:    -3.59 | Episode steps: 1001 | Average reward:   -37.42 | Step Count: 82082 | Episode Q0:    -2.31
Episode:  83/1000 | Episode reward:    -3.60 | Episode steps: 1001 | Average reward:   -10.98 | Step Count: 83083 | Episode Q0:    -2.33
Episode:  84/1000 | Episode reward:    -3.75 | Episode steps: 1001 | Average reward:    -3.66 | Step Count: 84084 | Episode Q0:    -2.35
Episode:  85/1000 | Episode reward:    -3.00 | Episode steps: 1001 | Average reward:    -3.41 | Step Count: 85085 | Episode Q0:    -2.42
Episode:  86/1000 | Episode reward:    -3.44 | Episode steps: 1001 | Average reward:    -3.48 | Step Count: 86086 | Episode Q0:    -2.44
Episode:  87/1000 | Episode reward:    -3.24 | Episode steps: 1001 | Average reward:    -3.41 | Step Count: 87087 | Episode Q0:    -2.47
Episode:  88/1000 | Episode reward:    -3.46 | Episode steps: 1001 | Average reward:    -3.38 | Step Count: 88088 | Episode Q0:    -2.47
Episode:  89/1000 | Episode reward:    -4.00 | Episode steps: 1001 | Average reward:    -3.43 | Step Count: 89089 | Episode Q0:    -2.52
Episode:  90/1000 | Episode reward:    -8.57 | Episode steps: 1001 | Average reward:    -4.54 | Step Count: 90090 | Episode Q0:    -2.48
Episode:  91/1000 | Episode reward:   -21.89 | Episode steps: 1001 | Average reward:    -8.24 | Step Count: 91091 | Episode Q0:    -2.47
Episode:  92/1000 | Episode reward:   -18.87 | Episode steps: 1001 | Average reward:   -11.36 | Step Count: 92092 | Episode Q0:    -2.47
Episode:  93/1000 | Episode reward:   -19.21 | Episode steps: 1001 | Average reward:   -14.51 | Step Count: 93093 | Episode Q0:    -2.48
Episode:  94/1000 | Episode reward:   -22.66 | Episode steps: 1001 | Average reward:   -18.24 | Step Count: 94094 | Episode Q0:    -2.47
Episode:  95/1000 | Episode reward:   -25.76 | Episode steps: 1001 | Average reward:   -21.68 | Step Count: 95095 | Episode Q0:    -2.48
Episode:  96/1000 | Episode reward:   -38.97 | Episode steps: 1001 | Average reward:   -25.09 | Step Count: 96096 | Episode Q0:    -2.49
Episode:  97/1000 | Episode reward:   -47.37 | Episode steps: 1001 | Average reward:   -30.79 | Step Count: 97097 | Episode Q0:    -2.48
Episode:  98/1000 | Episode reward:   -14.74 | Episode steps: 1001 | Average reward:   -29.90 | Step Count: 98098 | Episode Q0:    -2.48
Episode:  99/1000 | Episode reward:   -14.24 | Episode steps: 1001 | Average reward:   -28.22 | Step Count: 99099 | Episode Q0:    -2.47
Episode: 100/1000 | Episode reward:   -15.28 | Episode steps: 1001 | Average reward:   -26.12 | Step Count: 100100 | Episode Q0:    -2.49
Episode: 101/1000 | Episode reward:   -16.25 | Episode steps: 1001 | Average reward:   -21.58 | Step Count: 101101 | Episode Q0:    -2.48
Episode: 102/1000 | Episode reward:   -15.56 | Episode steps: 1001 | Average reward:   -15.21 | Step Count: 102102 | Episode Q0:    -2.48
Episode: 103/1000 | Episode reward:   -15.14 | Episode steps: 1001 | Average reward:   -15.29 | Step Count: 103103 | Episode Q0:    -2.48
Episode: 104/1000 | Episode reward:   -14.77 | Episode steps: 1001 | Average reward:   -15.40 | Step Count: 104104 | Episode Q0:    -2.48
Episode: 105/1000 | Episode reward:   -14.52 | Episode steps: 1001 | Average reward:   -15.25 | Step Count: 105105 | Episode Q0:    -2.49
Episode: 106/1000 | Episode reward:   -15.47 | Episode steps: 1001 | Average reward:   -15.09 | Step Count: 106106 | Episode Q0:    -2.48
Episode: 107/1000 | Episode reward:   -34.73 | Episode steps: 1001 | Average reward:   -18.92 | Step Count: 107107 | Episode Q0:    -2.47
Episode: 108/1000 | Episode reward:   -66.88 | Episode steps: 1001 | Average reward:   -29.27 | Step Count: 108108 | Episode Q0:    -2.47
Episode: 109/1000 | Episode reward:   -17.86 | Episode steps: 1001 | Average reward:   -29.89 | Step Count: 109109 | Episode Q0:    -2.47
Episode: 110/1000 | Episode reward:   -11.74 | Episode steps: 1001 | Average reward:   -29.33 | Step Count: 110110 | Episode Q0:    -2.47
Episode: 111/1000 | Episode reward:   -10.57 | Episode steps: 1001 | Average reward:   -28.35 | Step Count: 111111 | Episode Q0:    -2.47
Episode: 112/1000 | Episode reward:    -9.17 | Episode steps: 1001 | Average reward:   -23.24 | Step Count: 112112 | Episode Q0:    -2.47
Episode: 113/1000 | Episode reward:    -8.97 | Episode steps: 1001 | Average reward:   -11.66 | Step Count: 113113 | Episode Q0:    -2.49
Episode: 114/1000 | Episode reward:    -8.58 | Episode steps: 1001 | Average reward:    -9.81 | Step Count: 114114 | Episode Q0:    -2.47
Episode: 115/1000 | Episode reward:    -8.04 | Episode steps: 1001 | Average reward:    -9.07 | Step Count: 115115 | Episode Q0:    -2.48
Episode: 116/1000 | Episode reward:    -7.12 | Episode steps: 1001 | Average reward:    -8.38 | Step Count: 116116 | Episode Q0:    -2.48
