
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023b (23.2.0.2365128) 64-bit (glnxa64)
                              August 23, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >>>>>>>>>>>>>>>>>> >> >>>> >> >> >> >> >> >> >> >> >> >> >> >>>> >> >> >> >>>>>>>>>>>>>>>>>>>>>> >> >> >> >> >> >>>> >> >> >> >> >>>>>>>>>>>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Episode:   1/1000 | Episode reward: -17072.49 | Episode steps: 1001 | Average reward: -17072.49 | Step Count: 1001 | Episode Q0:    -7.22
Episode:   2/1000 | Episode reward: -16052.78 | Episode steps: 1001 | Average reward: -16562.63 | Step Count: 2002 | Episode Q0:   -14.43
Episode:   3/1000 | Episode reward: -11753.71 | Episode steps: 1001 | Average reward: -14959.66 | Step Count: 3003 | Episode Q0:   -15.30
Episode:   4/1000 | Episode reward: -11456.26 | Episode steps: 1001 | Average reward: -14083.81 | Step Count: 4004 | Episode Q0:   -20.16
Episode:   5/1000 | Episode reward: -11309.75 | Episode steps: 1001 | Average reward: -13529.00 | Step Count: 5005 | Episode Q0:   -25.64
Episode:   6/1000 | Episode reward: -10801.56 | Episode steps: 1001 | Average reward: -12274.81 | Step Count: 6006 | Episode Q0:   -22.13
Episode:   7/1000 | Episode reward: -10687.50 | Episode steps: 1001 | Average reward: -11201.76 | Step Count: 7007 | Episode Q0:   -28.60
Episode:   8/1000 | Episode reward: -11017.66 | Episode steps: 1001 | Average reward: -11054.54 | Step Count: 8008 | Episode Q0:   -31.98
Episode:   9/1000 | Episode reward: -11173.89 | Episode steps: 1001 | Average reward: -10998.07 | Step Count: 9009 | Episode Q0:   -39.43
Episode:  10/1000 | Episode reward: -14851.91 | Episode steps: 1001 | Average reward: -11706.50 | Step Count: 10010 | Episode Q0:   -43.33
Episode:  11/1000 | Episode reward: -12840.43 | Episode steps: 1001 | Average reward: -12114.28 | Step Count: 11011 | Episode Q0:   -49.91
Episode:  12/1000 | Episode reward: -11394.51 | Episode steps: 1001 | Average reward: -12255.68 | Step Count: 12012 | Episode Q0:   -61.96
Episode:  13/1000 | Episode reward: -11259.54 | Episode steps: 1001 | Average reward: -12304.06 | Step Count: 13013 | Episode Q0:   -71.60
Episode:  14/1000 | Episode reward: -11183.17 | Episode steps: 1001 | Average reward: -12305.91 | Step Count: 14014 | Episode Q0:   -80.02
Episode:  15/1000 | Episode reward: -11529.94 | Episode steps: 1001 | Average reward: -11641.52 | Step Count: 15015 | Episode Q0:   -89.20
