True Measurements,Sim Measurement 1,Sim Measurement 2,Sim Measurement 3
-0.043861557847723096,0.0,0.0,0.0
0.19255873957716113,-0.021618965965279957,-0.02465825341654386,-0.0187974109437813
0.05725647682630175,0.05227655162427166,0.05734060955201569,0.047296496605183175
0.03857882658762729,0.05549832543653789,0.05955630414081015,0.05138087164860281
0.176355618838785,0.05314426069716518,0.056094808488456126,0.0500339975824194
0.2905834228731808,0.08403865752062767,0.08908970798910765,0.07913712650922122
0.2987096302279313,0.1364234299980586,0.14567330591105868,0.1280184007490275
0.287051473444184,0.18314657691409258,0.19558245207372105,0.17202284432101322
0.4856182614081392,0.22025368987040103,0.23423026522485366,0.2076671159456726
0.40408873120700256,0.29769787036053685,0.31663297435135396,0.28068048023003317
0.36370234816415603,0.3443329890533648,0.3639633759495747,0.3263516497032183
0.5326159966204923,0.3732036233640876,0.39140934563709256,0.35609278357897406
0.4740158220656955,0.4340968706822463,0.4534307264211752,0.41570951012416896
0.441162581736108,0.47121705385218926,0.4893144189089353,0.4536530223085412
0.6608605863278454,0.49384088814136157,0.509659245435497,0.4780824274867814
0.500433941365053,0.5573635554290416,0.5739005746119316,0.540907725592289
0.608158132549348,0.5772728222064186,0.5914385884650067,0.562783631860825
0.8151231670790581,0.6139047541832794,0.627018937039181,0.6003196052520599
0.6298955201107626,0.6833527341678345,0.697557228836517,0.6690132344263097
0.7336758919559127,0.7073678972070901,0.7196734915929031,0.6946131603297542
0.6394938833637767,0.7452785675250098,0.7567378643349321,0.7333138753146529
0.6713125769375023,0.760385473648828,0.7695662025721846,0.750195856494684
0.8323082806116121,0.7775931954959566,0.7847842757391486,0.7689254963803824
0.8692475181516344,0.8178500637319995,0.8248537927380555,0.809511394670807
0.9123638973157058,0.8579181148980877,0.8647926095336019,0.8498739871201928
0.9053306289841047,0.8987719522475809,0.9056470843004782,0.8909416772608322
1.0233696910234396,0.9326630834434454,0.9389799502435211,0.9253583272014136
1.0412316769030332,0.9790986517225193,0.9860915588599369,0.971615498572423
0.9523784658207238,1.0218962285324555,1.0292450115878031,1.0144026006810403
1.1115325084328147,1.046283137897646,1.0520243217001803,1.0398152721019798
1.0393931979182525,1.0891253405423758,1.0954096222870746,1.0825276264008477
1.4191849425504564,1.116533970906036,1.1214886250020981,1.1107719677902228
1.1791524537584905,1.1913133110678182,1.2011627469559658,1.1831335957816176
1.236573719461739,1.2258671738790796,1.2350347035881584,1.218122104835175
1.3089010753574435,1.263357372252519,1.2722529852189977,1.255818709149523
1.3853172523037203,1.3054327898566667,1.3147453983509174,1.2977246558553674
1.3281804633781615,1.3521832077431073,1.3626393462439803,1.3439002958733086
1.3731891556748201,1.3861960633233585,1.3956049322975514,1.378462406159987
1.5757248956465464,1.4214517377422702,1.4300238979770796,1.4141544515539834
1.5246737155536512,1.477540132598534,1.4890446666654285,1.4686462540442642
1.6068365897140275,1.5212656881541164,1.5332627244644705,1.5120332324064594
1.635977827004179,1.5700220884576288,1.583408583748749,1.5599281182931286
1.6911673773116735,1.616901477315631,1.6311902906801081,1.6061700822038116
1.7875949479719295,1.66520796889037,1.6805764121553222,1.6536998822194602
1.6244022650851577,1.7198360561136108,1.7374527560772495,1.7068376404220558
1.7922654504833622,1.7488376595534152,1.7631373993048673,1.7375077072701988
1.7543104449115674,1.7940118347556735,1.8085283551047515,1.7823345990929487
1.809168166756734,1.8294432137706014,1.8420020590030444,1.8186966709371384
1.9566595096681478,1.8669543936529789,1.878066851009455,1.8568693663240683
1.8402582191477106,1.9175437921221592,1.9301196221338726,1.9063747101706454
