
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023b (23.2.0.2365128) 64-bit (glnxa64)
                              August 23, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >>>>>>>>>>>>>>>>>> >> >>>> >> >> >> >> >> >> >> >> >> >> >> >>>> >> >> >> >>>>>>>>>>>>>>>>>>>>>>>>>> >> >> >> >> >> >>>> >> >> >> >> >>>>>>>>>>>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Episode:   1/1000 | Episode reward:   359.87 | Episode steps: 1001 | Average reward:   359.87 | Step Count: 1001 | Episode Q0:     0.81
Episode:   2/1000 | Episode reward:   356.68 | Episode steps: 1001 | Average reward:   358.28 | Step Count: 2002 | Episode Q0:     0.82
Episode:   3/1000 | Episode reward:  3075.20 | Episode steps: 1001 | Average reward:  1263.92 | Step Count: 3003 | Episode Q0:    -1.71
Episode:   4/1000 | Episode reward: 26821.15 | Episode steps: 1001 | Average reward:  7653.23 | Step Count: 4004 | Episode Q0:     6.23
Episode:   5/1000 | Episode reward: 26941.24 | Episode steps: 1001 | Average reward: 11510.83 | Step Count: 5005 | Episode Q0:    10.57
Episode:   6/1000 | Episode reward: 27377.57 | Episode steps: 1001 | Average reward: 16914.37 | Step Count: 6006 | Episode Q0:    14.56
Episode:   7/1000 | Episode reward: 26767.91 | Episode steps: 1001 | Average reward: 22196.61 | Step Count: 7007 | Episode Q0:    21.01
Episode:   8/1000 | Episode reward: 26809.69 | Episode steps: 1001 | Average reward: 26943.51 | Step Count: 8008 | Episode Q0:    24.34
Episode:   9/1000 | Episode reward: 26555.27 | Episode steps: 1001 | Average reward: 26890.34 | Step Count: 9009 | Episode Q0:    42.44
Episode:  10/1000 | Episode reward: 26926.05 | Episode steps: 1001 | Average reward: 26887.30 | Step Count: 10010 | Episode Q0:    50.12
Episode:  11/1000 | Episode reward: 26495.72 | Episode steps: 1001 | Average reward: 26710.93 | Step Count: 11011 | Episode Q0:    49.01
