
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023b (23.2.0.2365128) 64-bit (glnxa64)
                              August 23, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >>>>>>>>>>>>>>>>>> >> >>>> >> >> >> >> >> >> >> >> >> >> >> >>>> >> >> >> >>>>>>>>>>>>>>>>>>>>>>>>>> >> >> >> >> >> >>>> >> >> >> >> >>>>>>>>>>>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Episode:   1/1000 | Episode reward:   758.47 | Episode steps: 1001 | Average reward:   758.47 | Step Count: 1001 | Episode Q0:     1.48
Episode:   2/1000 | Episode reward:   757.67 | Episode steps: 1001 | Average reward:   758.07 | Step Count: 2002 | Episode Q0:     1.53
Episode:   3/1000 | Episode reward:   758.18 | Episode steps: 1001 | Average reward:   758.11 | Step Count: 3003 | Episode Q0:     2.10
Episode:   4/1000 | Episode reward:   759.11 | Episode steps: 1001 | Average reward:   758.36 | Step Count: 4004 | Episode Q0:     2.45
Episode:   5/1000 | Episode reward:   758.12 | Episode steps: 1001 | Average reward:   758.31 | Step Count: 5005 | Episode Q0:     2.80
Episode:   6/1000 | Episode reward:   758.62 | Episode steps: 1001 | Average reward:   758.34 | Step Count: 6006 | Episode Q0:     3.28
Episode:   7/1000 | Episode reward:   757.82 | Episode steps: 1001 | Average reward:   758.37 | Step Count: 7007 | Episode Q0:     3.30
Episode:   8/1000 | Episode reward:   758.53 | Episode steps: 1001 | Average reward:   758.44 | Step Count: 8008 | Episode Q0:     3.77
Episode:   9/1000 | Episode reward:   758.68 | Episode steps: 1001 | Average reward:   758.35 | Step Count: 9009 | Episode Q0:     4.20
Episode:  10/1000 | Episode reward:   758.34 | Episode steps: 1001 | Average reward:   758.40 | Step Count: 10010 | Episode Q0:     4.60
Episode:  11/1000 | Episode reward:   757.86 | Episode steps: 1001 | Average reward:   758.25 | Step Count: 11011 | Episode Q0:     4.60
Episode:  12/1000 | Episode reward:   758.87 | Episode steps: 1001 | Average reward:   758.46 | Step Count: 12012 | Episode Q0:     5.17
Episode:  13/1000 | Episode reward:   758.19 | Episode steps: 1001 | Average reward:   758.39 | Step Count: 13013 | Episode Q0:     5.59
Episode:  14/1000 | Episode reward:   758.85 | Episode steps: 1001 | Average reward:   758.42 | Step Count: 14014 | Episode Q0:     5.63
Episode:  15/1000 | Episode reward:   758.44 | Episode steps: 1001 | Average reward:   758.44 | Step Count: 15015 | Episode Q0:     6.38
Episode:  16/1000 | Episode reward:   758.46 | Episode steps: 1001 | Average reward:   758.56 | Step Count: 16016 | Episode Q0:     6.06
Episode:  17/1000 | Episode reward:   758.81 | Episode steps: 1001 | Average reward:   758.55 | Step Count: 17017 | Episode Q0:     6.11
Episode:  18/1000 | Episode reward:   758.60 | Episode steps: 1001 | Average reward:   758.63 | Step Count: 18018 | Episode Q0:     6.67
Episode:  19/1000 | Episode reward:   758.17 | Episode steps: 1001 | Average reward:   758.49 | Step Count: 19019 | Episode Q0:     7.01
Episode:  20/1000 | Episode reward:   758.19 | Episode steps: 1001 | Average reward:   758.44 | Step Count: 20020 | Episode Q0:     6.92
Episode:  21/1000 | Episode reward:   758.73 | Episode steps: 1001 | Average reward:   758.50 | Step Count: 21021 | Episode Q0:     7.50
Episode:  22/1000 | Episode reward:   758.09 | Episode steps: 1001 | Average reward:   758.36 | Step Count: 22022 | Episode Q0:     7.69
Episode:  23/1000 | Episode reward:   758.90 | Episode steps: 1001 | Average reward:   758.42 | Step Count: 23023 | Episode Q0:     8.11
Episode:  24/1000 | Episode reward:   758.56 | Episode steps: 1001 | Average reward:   758.49 | Step Count: 24024 | Episode Q0:     8.17
Episode:  25/1000 | Episode reward:   758.55 | Episode steps: 1001 | Average reward:   758.57 | Step Count: 25025 | Episode Q0:     8.43
Episode:  26/1000 | Episode reward:   759.13 | Episode steps: 1001 | Average reward:   758.65 | Step Count: 26026 | Episode Q0:     8.47
Episode:  27/1000 | Episode reward:   758.02 | Episode steps: 1001 | Average reward:   758.63 | Step Count: 27027 | Episode Q0:     8.40
Episode:  28/1000 | Episode reward:   758.57 | Episode steps: 1001 | Average reward:   758.57 | Step Count: 28028 | Episode Q0:     8.52
Episode:  29/1000 | Episode reward:   758.42 | Episode steps: 1001 | Average reward:   758.54 | Step Count: 29029 | Episode Q0:     8.04
Episode:  30/1000 | Episode reward:   757.95 | Episode steps: 1001 | Average reward:   758.42 | Step Count: 30030 | Episode Q0:     8.51
Episode:  31/1000 | Episode reward:   758.98 | Episode steps: 1001 | Average reward:   758.39 | Step Count: 31031 | Episode Q0:     8.78
Episode:  32/1000 | Episode reward:   758.33 | Episode steps: 1001 | Average reward:   758.45 | Step Count: 32032 | Episode Q0:     9.02
Episode:  33/1000 | Episode reward:   758.86 | Episode steps: 1001 | Average reward:   758.51 | Step Count: 33033 | Episode Q0:     8.51
Episode:  34/1000 | Episode reward:   759.07 | Episode steps: 1001 | Average reward:   758.64 | Step Count: 34034 | Episode Q0:     8.20
Episode:  35/1000 | Episode reward:   758.39 | Episode steps: 1001 | Average reward:   758.73 | Step Count: 35035 | Episode Q0:     7.63
Episode:  36/1000 | Episode reward:   757.87 | Episode steps: 1001 | Average reward:   758.50 | Step Count: 36036 | Episode Q0:     7.21
Episode:  37/1000 | Episode reward:   758.52 | Episode steps: 1001 | Average reward:   758.54 | Step Count: 37037 | Episode Q0:     8.62
Episode:  38/1000 | Episode reward:   758.56 | Episode steps: 1001 | Average reward:   758.48 | Step Count: 38038 | Episode Q0:     8.51
Episode:  39/1000 | Episode reward:   758.69 | Episode steps: 1001 | Average reward:   758.41 | Step Count: 39039 | Episode Q0:     7.75
Episode:  40/1000 | Episode reward:   757.74 | Episode steps: 1001 | Average reward:   758.28 | Step Count: 40040 | Episode Q0:     8.38
Episode:  41/1000 | Episode reward:   758.49 | Episode steps: 1001 | Average reward:   758.40 | Step Count: 41041 | Episode Q0:     9.05
Episode:  42/1000 | Episode reward:   757.85 | Episode steps: 1001 | Average reward:   758.27 | Step Count: 42042 | Episode Q0:     8.41
Episode:  43/1000 | Episode reward:   758.35 | Episode steps: 1001 | Average reward:   758.23 | Step Count: 43043 | Episode Q0:     8.10
Episode:  44/1000 | Episode reward:   758.86 | Episode steps: 1001 | Average reward:   758.26 | Step Count: 44044 | Episode Q0:     8.38
Episode:  45/1000 | Episode reward:   757.56 | Episode steps: 1001 | Average reward:   758.22 | Step Count: 45045 | Episode Q0:     7.62
Episode:  46/1000 | Episode reward:   758.03 | Episode steps: 1001 | Average reward:   758.13 | Step Count: 46046 | Episode Q0:     8.84
Episode:  47/1000 | Episode reward:   758.04 | Episode steps: 1001 | Average reward:   758.17 | Step Count: 47047 | Episode Q0:     5.94
Episode:  48/1000 | Episode reward:   758.48 | Episode steps: 1001 | Average reward:   758.19 | Step Count: 48048 | Episode Q0:     8.35
Episode:  49/1000 | Episode reward:   757.89 | Episode steps: 1001 | Average reward:   758.00 | Step Count: 49049 | Episode Q0:     8.07
Episode:  50/1000 | Episode reward:   758.25 | Episode steps: 1001 | Average reward:   758.14 | Step Count: 50050 | Episode Q0:     8.55
Episode:  51/1000 | Episode reward:   758.55 | Episode steps: 1001 | Average reward:   758.24 | Step Count: 51051 | Episode Q0:     6.97
Episode:  52/1000 | Episode reward:   757.91 | Episode steps: 1001 | Average reward:   758.22 | Step Count: 52052 | Episode Q0:     8.27
Episode:  53/1000 | Episode reward:   758.43 | Episode steps: 1001 | Average reward:   758.21 | Step Count: 53053 | Episode Q0:     6.75
Episode:  54/1000 | Episode reward:   758.74 | Episode steps: 1001 | Average reward:   758.38 | Step Count: 54054 | Episode Q0:     7.90
Episode:  55/1000 | Episode reward:   757.79 | Episode steps: 1001 | Average reward:   758.28 | Step Count: 55055 | Episode Q0:     8.62
