
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023b (23.2.0.2365128) 64-bit (glnxa64)
                              August 23, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Episode:  44/1000 | Episode reward:   757.11 | Episode steps: 1001 | Average reward:   756.63 | Step Count: 44044 | Episode Q0:     6.20
Episode:  45/1000 | Episode reward:   756.13 | Episode steps: 1001 | Average reward:   756.61 | Step Count: 45045 | Episode Q0:     9.27
Episode:  46/1000 | Episode reward:   756.53 | Episode steps: 1001 | Average reward:   756.54 | Step Count: 46046 | Episode Q0:     6.43
Episode:  47/1000 | Episode reward:   756.52 | Episode steps: 1001 | Average reward:   756.61 | Step Count: 47047 | Episode Q0:     2.23
Episode:  48/1000 | Episode reward:   757.26 | Episode steps: 1001 | Average reward:   756.71 | Step Count: 48048 | Episode Q0:     5.55
Episode:  49/1000 | Episode reward:   756.16 | Episode steps: 1001 | Average reward:   756.52 | Step Count: 49049 | Episode Q0:     3.81
Episode:  50/1000 | Episode reward:   756.50 | Episode steps: 1001 | Average reward:   756.59 | Step Count: 50050 | Episode Q0:     6.93
Episode:  51/1000 | Episode reward:   756.92 | Episode steps: 1001 | Average reward:   756.67 | Step Count: 51051 | Episode Q0:     2.44
Episode:  52/1000 | Episode reward:   756.18 | Episode steps: 1001 | Average reward:   756.60 | Step Count: 52052 | Episode Q0:     5.40
Episode:  53/1000 | Episode reward:   756.95 | Episode steps: 1001 | Average reward:   756.54 | Step Count: 53053 | Episode Q0:     3.44
Episode:  54/1000 | Episode reward:   757.14 | Episode steps: 1001 | Average reward:   756.74 | Step Count: 54054 | Episode Q0:     4.28
Episode:  55/1000 | Episode reward:   756.20 | Episode steps: 1001 | Average reward:   756.68 | Step Count: 55055 | Episode Q0:     7.29
Episode:  56/1000 | Episode reward:   756.31 | Episode steps: 1001 | Average reward:   756.56 | Step Count: 56056 | Episode Q0:     3.15
Episode:  57/1000 | Episode reward:   756.51 | Episode steps: 1001 | Average reward:   756.62 | Step Count: 57057 | Episode Q0:     3.10
Episode:  58/1000 | Episode reward:   756.40 | Episode steps: 1001 | Average reward:   756.51 | Step Count: 58058 | Episode Q0:     3.02
Episode:  59/1000 | Episode reward:   756.55 | Episode steps: 1001 | Average reward:   756.39 | Step Count: 59059 | Episode Q0:     4.03
Episode:  60/1000 | Episode reward:   756.29 | Episode steps: 1001 | Average reward:   756.41 | Step Count: 60060 | Episode Q0:     1.95
Episode:  61/1000 | Episode reward:   756.82 | Episode steps: 1001 | Average reward:   756.51 | Step Count: 61061 | Episode Q0:     2.87
Episode:  62/1000 | Episode reward:   756.59 | Episode steps: 1001 | Average reward:   756.53 | Step Count: 62062 | Episode Q0:     4.99
Episode:  63/1000 | Episode reward:   756.71 | Episode steps: 1001 | Average reward:   756.59 | Step Count: 63063 | Episode Q0:     3.86
Episode:  64/1000 | Episode reward:   755.86 | Episode steps: 1001 | Average reward:   756.46 | Step Count: 64064 | Episode Q0:     3.73
Episode:  65/1000 | Episode reward:   756.85 | Episode steps: 1001 | Average reward:   756.57 | Step Count: 65065 | Episode Q0:     3.07
Episode:  66/1000 | Episode reward:   755.97 | Episode steps: 1001 | Average reward:   756.40 | Step Count: 66066 | Episode Q0:     2.77
Episode:  67/1000 | Episode reward:   757.13 | Episode steps: 1001 | Average reward:   756.51 | Step Count: 67067 | Episode Q0:     0.70
Episode:  68/1000 | Episode reward:   757.13 | Episode steps: 1001 | Average reward:   756.59 | Step Count: 68068 | Episode Q0:     4.30
Episode:  69/1000 | Episode reward:   756.63 | Episode steps: 1001 | Average reward:   756.74 | Step Count: 69069 | Episode Q0:     4.54
Episode:  70/1000 | Episode reward:   756.88 | Episode steps: 1001 | Average reward:   756.75 | Step Count: 70070 | Episode Q0:     5.19
Episode:  71/1000 | Episode reward:   757.20 | Episode steps: 1001 | Average reward:   757.00 | Step Count: 71071 | Episode Q0:     2.82
Episode:  72/1000 | Episode reward:   756.80 | Episode steps: 1001 | Average reward:   756.93 | Step Count: 72072 | Episode Q0:     1.91
Episode:  73/1000 | Episode reward:   757.01 | Episode steps: 1001 | Average reward:   756.90 | Step Count: 73073 | Episode Q0:     0.95
Episode:  74/1000 | Episode reward:   756.79 | Episode steps: 1001 | Average reward:   756.94 | Step Count: 74074 | Episode Q0:     0.75
Episode:  75/1000 | Episode reward:   756.40 | Episode steps: 1001 | Average reward:   756.84 | Step Count: 75075 | Episode Q0:     3.42
Episode:  76/1000 | Episode reward:   757.31 | Episode steps: 1001 | Average reward:   756.86 | Step Count: 76076 | Episode Q0:     2.27
Episode:  77/1000 | Episode reward:   756.74 | Episode steps: 1001 | Average reward:   756.85 | Step Count: 77077 | Episode Q0:     2.11
Episode:  78/1000 | Episode reward:   756.76 | Episode steps: 1001 | Average reward:   756.80 | Step Count: 78078 | Episode Q0:    -0.42
Episode:  79/1000 | Episode reward:   756.81 | Episode steps: 1001 | Average reward:   756.81 | Step Count: 79079 | Episode Q0:     1.76
