
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023b (23.2.0.2365128) 64-bit (glnxa64)
                              August 23, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >>>>>>>>>>>>>>>>>> >> >>>> >> >> >> >> >> >> >> >> >> >> >> >>>> >> >> >> >>>>>>>>>>>>>>>>>>>>>> >> >> >> >> >> >>>> >> >> >> >> >>>>>>>>>>>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Episode:   1/1000 | Episode reward: -1429.21 | Episode steps: 1001 | Average reward: -1429.21 | Step Count: 1001 | Episode Q0:    -0.95
Episode:  42/1000 | Episode reward:   -17.50 | Episode steps: 1001 | Average reward:   -16.42 | Step Count: 42042 | Episode Q0:    -2.94
Episode:  43/1000 | Episode reward:   -20.71 | Episode steps: 1001 | Average reward:   -17.46 | Step Count: 43043 | Episode Q0:    -2.95
Episode:  44/1000 | Episode reward:   -52.17 | Episode steps: 1001 | Average reward:   -24.55 | Step Count: 44044 | Episode Q0:    -2.99
Episode:  45/1000 | Episode reward:   -48.43 | Episode steps: 1001 | Average reward:   -31.10 | Step Count: 45045 | Episode Q0:    -3.02
Episode:  46/1000 | Episode reward:   -14.01 | Episode steps: 1001 | Average reward:   -30.57 | Step Count: 46046 | Episode Q0:    -3.08
Episode:  47/1000 | Episode reward:   -15.03 | Episode steps: 1001 | Average reward:   -30.07 | Step Count: 47047 | Episode Q0:    -3.09
Episode:  48/1000 | Episode reward:   -14.64 | Episode steps: 1001 | Average reward:   -28.86 | Step Count: 48048 | Episode Q0:    -3.06
Episode:  49/1000 | Episode reward:   -12.88 | Episode steps: 1001 | Average reward:   -21.00 | Step Count: 49049 | Episode Q0:    -3.09
Episode:  50/1000 | Episode reward:   -13.68 | Episode steps: 1001 | Average reward:   -14.05 | Step Count: 50050 | Episode Q0:    -3.13
Episode:  51/1000 | Episode reward:   -14.56 | Episode steps: 1001 | Average reward:   -14.16 | Step Count: 51051 | Episode Q0:    -3.10
